40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,30002,0,0,0,30002,0,0,0,0,0,0,0,0,0,0
40010,40010,40010,40010,40010,40010,40010,40010,0,0,40010,40010,40010,40010,40010,40010,0,0,40005-21:62,40005-21:62,40005-21:62,20405-21:62,0,0,40005-26:62,40005-26:62,20405-26:62,0,30002,0,20305-30:62,40005-30:62,40005-30:62,0,30002,40005-37:62,40005-37:62,20405-37:62,0,30002,40005-40:61,40005-40:61,40005-40:61,0,40005-46:62,40005-46:62,20405-46:62,0,40005-50:62,40005-50:62,20405-50:62,0,20306,40006,0,21806-56:61,40006,0,0,20306,40006,0,0,0
40010,40010,40010,40010,40010,40015,40015,0,0,0,0,0,40010,40010,0,0,0,0,40005-21:62,40005-21:62,40005-21:62,40005-21:62,0,0,40005-26:62,40005-26:62,40005-26:62,0,0,0,40005-30:62,40005-30:62,40005-30:62,0,0,40005-37:62,40005-37:62,40005-37:62,0,0,20305-40:61,40005-40:61,40005-40:61,0,40005-46:62,40005-46:62,40005-46:62,0,40005-50:62,40005-50:62,40005-50:62,0,40006-52:62,21906-52:62,0,40006-56:61,20406,0,0,40006-59:62,21906-59:62,0,0,0
40010,40010,40010,40010,40010,40015,40015,40015,40015,0,0,0,40005-14:60,40005-14:60,20405-14:60,0,40005-16:59,40005-16:59,40005-16:59,20405-16:59,0,0,0,20306,40006,0,0,0,30001,0,21806-31:59,40006,0,0,0,21806-36:59,40006,0,0,0,0,20306,40006,0,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,0,0
40010,40010,40010,40010,40015,40015,40015,40015,40015,40015,40015,40015,40005-14:60,40005-14:60,40005-14:60,0,20305-16:59,40005-16:59,40005-16:59,40005-16:59,0,0,0,40006-23:60,21906-23:60,0,0,0,0,0,40006-31:59,20406,0,0,0,40006-36:59,20406,0,0,30001,0,40006-41:60,21906-41:60,0,30013,21806-46:59,20406,0,40006,20406,0,40007,40007,40007,0,40009,40009,40009,30013,0,40016,40016,21616-60:57&63:59,20116
40010,40010,40010,40010,40015,40015,40015,40015,40015,40015,40015,40015,0,0,0,0,0,0,0,0,0,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,40006-46:59,40006,0,40006-49:59,21706-49:59,0,20307,40007,40007,0,40009,40009,40009,30013,0,40016,40016,40016,40016
40010,40010,40010,40010,40015,40015,40015,40015,40015,40015,40015,40015,40015,40015,40015,0,0,0,0,0,0,30013,40006,20406,0,30001,0,0,20214,20214,20214,20214,20214,20214,0,0,30001,0,0,0,20319,40019,40019,40019,30013,10400,0,0,0,0,0,22707-51:57&51:58,40007,40007,0,20209-55:57,20209,40009,30013,0,20316-60:57&63:59,40016,40016,40016
40010,40010,40010,40010,40010,40010,40015,40015,40015,40015,40015,40015,40015,40015,40015,40015,40015,10100,0,0,0,30013,21706-23:57,40006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40019,40019,40019,40019,30013,40017,40017,22117-47:55&47:56,0,0,0,0,0,0,0,0,0,0,30013,0,40015,40015,40015,40015
40010,40010,40010,40010,40010,0,40015,40015,40015,40015,40015,40015,40015,40015,40015,40018,40018,40018,40018,10400,0,30013,0,0,0,0,30001,0,20114,20114,22914,20114,20114,22914,0,40008,40008,40008,40008,0,40019,40019,40019,40019,30013,40017,40017,20417,0,0,0,0,0,30001,0,40007,40007,40007,30013,0,40015,40015,40015,40015
40010,40010,40010,40010,40005-6:54,40005-6:54,20405-6:54,0,40015,40015,40015,40015,40015,40015,40015,40018,40018,40018,40018,0,0,30013,40006,21906-22:53,0,0,0,0,0,0,0,0,0,0,0,20308,40008,40008,20408,0,40019,40019,40019,40019,30013,40017-47:55&47:56,40017,40017,10121,0,10121,0,0,0,0,21807-55:53,40007,40007,30013,0,0,0,40011,40015
